#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STI-FY2016.CSV","Start Processing"
"8570.4346","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STI-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STT-FY2016.CSV","Start Processing"
"8880.2585","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STT-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STX-FY2016.CSV","Start Processing"
"8920.2688","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STZ-FY2016.CSV","Start Processing"
"8913.1785","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\STZ-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SWK-FY2016.CSV","Start Processing"
"8169.9468","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SWK-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SWKS-FY2016.CSV","Start Processing"
"8389.8776","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SWKS-FY2016.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYF-FY2016.CSV","Start Processing"
"7992.5421","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYF-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYK-FY2016.CSV","Start Processing"
"8794.0624","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYK-FY2016.CSV","End Processing"
"1.0022","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYMC-FY2016.CSV","Start Processing"
"10039.4425","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYMC-FY2016.CSV","End Processing"
"1.0006","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYY-FY2016.CSV","Start Processing"
"8481.9635","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SYY-FY2016.CSV","End Processing"
"1.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SBAC-FY2017.CSV","Start Processing"
"9145.3042","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SBAC-FY2017.CSV","End Processing"
"1.0036","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SBUX-FY2017.CSV","Start Processing"
"8090.0347","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SBUX-FY2017.CSV","End Processing"
"1.0043","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SCG-FY2017.CSV","Start Processing"
"8576.3181","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SCG-FY2017.CSV","End Processing"
"0.9985","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SCHW-FY2017.CSV","Start Processing"
"7949.3823","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SCHW-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SEE-FY2017.CSV","Start Processing"
"7922.3958","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SEE-FY2017.CSV","End Processing"
"0.9996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SHW-FY2017.CSV","Start Processing"
"8422.9573","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SHW-FY2017.CSV","End Processing"
"1.0006","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SIG-FY2017.CSV","Start Processing"
"8686.7445","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SIG-FY2017.CSV","End Processing"
"0.9642","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\SJM-FY2017.CSV","Start Processing"
